gene,coordinates,chromosome,strand,paralog_group
YIL061C,"[(244657, 245559)]",chrIX,-,YIL061C
YIL062C,"[(243998, 244462)]",chrIX,-,YIL062C
YIL063C,"[(242761, 243744)]",chrIX,-,YIL063C
YIL064W,"[(242027, 242716)]",chrIX,+,YIL064W
YIL065C,"[(241308, 241775)]",chrIX,-,YIL065C
YIL066C,"[(238099, 240708)]",chrIX,-,YIL066C
YIL066W-A,"[(237366, 237809)]",chrIX,+,YIL066W-A
YIL067C,"[(235724, 237760)]",chrIX,-,YIL067C
YIL068C,"[(233057, 235474)]",chrIX,-,YIL068C
YIL068W-A,"[(233013, 233396)]",chrIX,+,YIL068W-A
YIL069C,"[(231553, 231957), (232367, 232369)]",chrIX,-,YIL069C
YIL070C,"[(230272, 231072)]",chrIX,-,YIL070C
YIL071C,"[(228660, 229994)]",chrIX,-,YPR108W
YIL071W-A,"[(228550, 229026)]",chrIX,+,YIL071W-A
YIL072W,"[(226602, 228419)]",chrIX,+,YIL072W
YIL073C,"[(222937, 225809), (225900, 225954)]",chrIX,-,YIL073C
YIL074C,"[(221081, 222490)]",chrIX,-,YNL274C
YIL075C,"[(217863, 220700)]",chrIX,-,YIL075C
YIL076W,"[(216658, 217548)]",chrIX,+,YIL076W
YIL077C,"[(214991, 215953)]",chrIX,-,YIL077C
YIL078W,"[(212499, 214703)]",chrIX,+,YER087W
YIL079C,"[(210923, 212005)]",chrIX,-,YNL255C
YIL082W,"[(205635, 206507)]",chrIX,+,YIL082W
YIL082W-A,"[(205635, 206485), (206487, 210132)]",chrIX,+,YIL082W-A
YIL083C,"[(203556, 204653)]",chrIX,-,YIL083C
YIL084C,"[(202276, 203259)]",chrIX,-,YIL084C
YIL085C,"[(200490, 202043)]",chrIX,-,YOR099W
YIL086C,"[(200153, 200461)]",chrIX,-,YIL086C
YIL087C,"[(199646, 200119)]",chrIX,-,YIL087C
YIL088C,"[(197931, 199403)]",chrIX,-,YIL088C
YIL089W,"[(195599, 196216)]",chrIX,+,YIL089W
YIL090W,"[(193595, 195070)]",chrIX,+,YIL090W
YIL091C,"[(191030, 193195)]",chrIX,-,YIL091C
YIL092W,"[(189066, 190967)]",chrIX,+,YIL092W
YIL093C,"[(187990, 188784)]",chrIX,-,YIL093C
YIL094C,"[(186517, 187632)]",chrIX,-,YOR136W
YIL095W,"[(183937, 186369)]",chrIX,+,YPL236C
YIL096C,"[(182117, 183127)]",chrIX,-,YIL096C
YIL097W,"[(180427, 181977)]",chrIX,+,YDR255C
YIL098C,"[(179772, 180239)]",chrIX,-,YIL098C
YIL099W,"[(178004, 179653)]",chrIX,+,YIL099W
YIL100C-A,"[(177343, 177681)]",chrIX,-,YIL100C-A
YIL100W,"[(177373, 177726)]",chrIX,+,YIL100W
YIL101C,"[(175307, 177250)]",chrIX,-,YIL101C
YIL102C,"[(174582, 174887)]",chrIX,-,YIL102C
YIL102C-A,"[(173365, 173592)]",chrIX,-,YIL102C-A
YIL103W,"[(171751, 173028)]",chrIX,+,YIL103W
YIL104C,"[(169982, 171505)]",chrIX,-,YIL104C
YIL105C,"[(167581, 169641)]",chrIX,-,YNL047C
YIL105W-A,"[(167664, 167804)]",chrIX,+,YIL105W-A
YIL106W,"[(166415, 166434), (166520, 167444)]",chrIX,+,YFL034C-B
YIL107C,"[(163278, 165761)]",chrIX,-,YJL155C
YIL108W,"[(160887, 162977)]",chrIX,+,YIL108W
YIL109C,"[(157385, 160165)]",chrIX,-,YHR098C
YIL110W,"[(156045, 157178)]",chrIX,+,YIL110W
YIL111W,"[(155222, 155222), (155311, 155765)]",chrIX,+,YIL111W
YIL112W,"[(151595, 154846)]",chrIX,+,YIL112W
YIL113W,"[(150559, 151188)]",chrIX,+,YNL053W
YIL114C,"[(149143, 149988)]",chrIX,-,YIL114C
YIL115C,"[(144327, 148709)]",chrIX,-,YIL115C
YIL115W-A,"[(144268, 144639)]",chrIX,+,YIL115W-A
YIL116W,"[(142928, 144085)]",chrIX,+,YIL116W
YIL117C,"[(140613, 141569)]",chrIX,-,YNL058C
YIL118W,"[(139752, 140447)]",chrIX,+,YIL118W
YIL119C,"[(136654, 137877)]",chrIX,-,YIL119C
YIL120W,"[(134417, 136108)]",chrIX,+,YKR105C
YIL121W,"[(132244, 133872)]",chrIX,+,YKR105C
YIL122W,"[(130610, 131665)]",chrIX,+,YIL122W
YIL123W,"[(128151, 129581)]",chrIX,+,YJL116C
YIL124W,"[(126204, 127097)]",chrIX,+,YIL124W
YIL125W,"[(122689, 125733)]",chrIX,+,YIL125W
YIL126W,"[(117992, 122071)]",chrIX,+,YIL126W
YIL127C,"[(117024, 117644)]",chrIX,-,YIL127C
YIL128W,"[(113806, 116904)]",chrIX,+,YIL128W
YIL129C,"[(106107, 113237)]",chrIX,-,YIL129C
YIL130W,"[(102782, 105676)]",chrIX,+,YIL130W
YIL131C,"[(100781, 102235)]",chrIX,-,YNL068C
YIL132C,"[(99860, 100501)]",chrIX,-,YIL132C
YIL133C,"[(98527, 99095), (99386, 99416)]",chrIX,-,YOR150W
YIL134C-A,"[(96522, 96725)]",chrIX,-,YIL134C-A
YIL134W,"[(97395, 98330)]",chrIX,+,YGR257C
YIL135C,"[(95065, 96375)]",chrIX,-,YIL135C
YIL136W,"[(93619, 94800)]",chrIX,+,YIL136W
YIL137C,"[(89948, 92788)]",chrIX,-,YIL137C
YIL138C,"[(89230, 89715)]",chrIX,-,YNL079C
YIL139C,"[(87979, 88716)]",chrIX,-,YIL139C
YIL140W,"[(85366, 87837)]",chrIX,+,YIL140W
YIL141W,"[(85053, 85442)]",chrIX,+,YIL141W
YIL142C-A,"[(83208, 83540)]",chrIX,-,YIL142C-A
YIL142W,"[(83302, 84885)]",chrIX,+,YDL143W
YIL143C,"[(80510, 83041)]",chrIX,-,YIL143C
YIL144W,"[(78074, 80149)]",chrIX,+,YIL144W
YIL145C,"[(76354, 77283)]",chrIX,-,YIL145C
YIL146C,"[(74184, 75773)]",chrIX,-,YIL146C
YIL147C,"[(69791, 73453)]",chrIX,-,YIL147C
YIL148W,"[(68708, 68715), (69150, 69528)]",chrIX,+,YLL039C
YIL149C,"[(63028, 68067)]",chrIX,-,YIL149C
YIL150C,"[(61013, 62728)]",chrIX,-,YIL150C
YIL151C,"[(57338, 60694)]",chrIX,-,YKR096W
YIL152W,"[(56545, 57252)]",chrIX,+,YIL152W
YIL153W,"[(55198, 56379)]",chrIX,+,YPL152W
YIL154C,"[(53981, 55021)]",chrIX,-,YIL154C
YIL155C,"[(51759, 53708)]",chrIX,-,YIL155C
YIL156W,"[(48091, 51306)]",chrIX,+,YER151C
YIL156W-A,"[(47292, 47693)]",chrIX,+,YIL156W-A
YIL156W-B,"[(47690, 47698), (47761, 47973)]",chrIX,+,YIL156W-B
YIL157C,"[(46949, 47542)]",chrIX,-,YIL157C
YIL158W,"[(46201, 46815)]",chrIX,+,YKR100C
YIL159W,"[(41825, 45952)]",chrIX,+,YNL271C
YIL160C,"[(40191, 41444)]",chrIX,-,YPL028W
YIL161W,"[(39433, 40140)]",chrIX,+,YIL161W
YIL162W,"[(37385, 38983)]",chrIX,+,YIL162W
YIL163C,"[(36899, 37252)]",chrIX,-,YIL163C
YIL164C,"[(34087, 34686)]",chrIX,-,YLR351C
YIL165C,"[(33718, 34077)]",chrIX,-,YLR351C
YIL166C,"[(30938, 32566)]",chrIX,-,YIL166C
YIL167W,"[(29032, 30048)]",chrIX,+,YIL167W
YIL169C,"[(23119, 26106)]",chrIX,-,YHR214W
YIL171W-A,"[(18260, 18712)]",chrIX,+,YIL171W-A
YIL172C,"[(16784, 18553)]",chrIX,-,YBR299W
YIL173W,"[(11492, 16141)]",chrIX,+,YBL017C
YIL176C,"[(8793, 9155)]",chrIX,-,YIL011W
YIL177C,"[(483, 4598), (4987, 6147)]",chrIX,-,YPR202W
YIL177W-A,"[(846, 1328)]",chrIX,+,YJL225W-A
YIR001C,"[(356143, 356895)]",chrIX,-,YIR001C
YIR002C,"[(357415, 360396)]",chrIX,-,YIR002C
YIR003W,"[(360885, 362924)]",chrIX,+,YIR003W
YIR004W,"[(363221, 364519)]",chrIX,+,YER048C
YIR005W,"[(364889, 365335)]",chrIX,+,YIR005W
YIR006C,"[(365466, 369908)]",chrIX,-,YIR006C
YIR007W,"[(370704, 372998)]",chrIX,+,YIR007W
YIR008C,"[(373077, 374306)]",chrIX,-,YIR008C
YIR009W,"[(374525, 374860)]",chrIX,+,YIR009W
YIR010W,"[(375431, 377161)]",chrIX,+,YIR010W
YIR011C,"[(377287, 378246)]",chrIX,-,YIR011C
YIR012W,"[(378486, 379781)]",chrIX,+,YIR012W
YIR013C,"[(380019, 380384)]",chrIX,-,YLR013W
YIR014W,"[(381086, 381814)]",chrIX,+,YIR014W
YIR015W,"[(381948, 382382)]",chrIX,+,YIR015W
YIR016W,"[(382628, 383425)]",chrIX,+,YIR016W
YIR017C,"[(383556, 384119)]",chrIX,-,YIR017C
YIR017W-A,"[(383566, 384165)]",chrIX,+,YIR017W-A
YIR018C-A,"[(385564, 385701)]",chrIX,-,YIR018C-A
YIR018W,"[(384609, 385346)]",chrIX,+,YIR018W
YIR019C,"[(389572, 393675)]",chrIX,-,YDL037C
YIR020C,"[(394255, 394557)]",chrIX,-,YIR020C
YIR020C-B,"[(397215, 397949)]",chrIX,-,YIR020C-B
YIR020W-A,"[(394917, 395159)]",chrIX,+,YIR020W-A
YIR021W,"[(397294, 398385)]",chrIX,+,YIR021W
YIR021W-A,"[(398514, 398726)]",chrIX,+,YIR021W-A
YIR022W,"[(398733, 399236)]",chrIX,+,YIR022W
YIR023C-A,"[(402383, 402706)]",chrIX,-,YIR023C-A
YIR023W,"[(399777, 402689)]",chrIX,+,YIR023W
YIR024C,"[(402841, 403491)]",chrIX,-,YIR024C
YIR025W,"[(403659, 404765)]",chrIX,+,YIR025W
YIR026C,"[(404873, 405967)]",chrIX,-,YNL053W
YIR027C,"[(406260, 407642)]",chrIX,-,YIR027C
YIR028W,"[(408468, 410375)]",chrIX,+,YLR237W
YIR029W,"[(410807, 411838)]",chrIX,+,YIR029W
YIR030C,"[(412036, 412770)]",chrIX,-,YIR030C
YIR030W-A,"[(412899, 413282)]",chrIX,+,YIR030W-A
YIR031C,"[(413015, 414679)]",chrIX,-,YIR031C
YIR032C,"[(415030, 415617)]",chrIX,-,YIR032C
YIR033W,"[(416124, 419465)]",chrIX,+,YIR033W
YIR034C,"[(419615, 420736)]",chrIX,-,YIR034C
YIR035C,"[(421026, 421790)]",chrIX,-,YIR035C
YIR036C,"[(422074, 422865)]",chrIX,-,YIR035C
YIR036W-A,"[(422635, 423036)]",chrIX,+,YIR036W-A
YIR037W,"[(423128, 423619)]",chrIX,+,YKL026C
YIR038C,"[(423809, 424513)]",chrIX,-,YIR038C
YIR039C,"[(430498, 432111)]",chrIX,-,YDR349C
YIR040C,"[(433389, 433721)]",chrIX,-,YMR324C
YIR041W,"[(433929, 434303)]",chrIX,+,YIL011W
YIR042C,"[(435273, 435983)]",chrIX,-,YIR042C
YIR043C,"[(437043, 438179)]",chrIX,-,YIR043C
YJL001W,"[(435163, 435227), (435344, 435926)]",chrX,+,YGR253C
YJL002C,"[(433221, 434651)]",chrX,-,YJL002C
YJL003W,"[(432644, 433000)]",chrX,+,YJL003W
YJL004C,"[(431589, 432200)]",chrX,-,YJL004C
YJL005W,"[(425157, 431237)]",chrX,+,YJL005W
YJL006C,"[(423138, 424109)]",chrX,-,YJL006C
YJL007C,"[(422698, 423012)]",chrX,-,YJL007C
YJL008C,"[(419957, 421663)]",chrX,-,YDL143W
YJL009W,"[(419855, 420181)]",chrX,+,YJL009W
YJL010C,"[(417562, 419562)]",chrX,-,YJL010C
YJL011C,"[(414285, 414770)]",chrX,-,YJL011C
YJL012C,"[(411234, 413399)]",chrX,-,YJL012C
YJL013C,"[(409493, 411040)]",chrX,-,YJL013C
YJL014W,"[(407558, 409162)]",chrX,+,YDL143W
YJL015C,"[(407142, 407426)]",chrX,-,YJL015C
YJL016W,"[(405588, 407273)]",chrX,+,YJL016W
YJL019W,"[(402897, 404945)]",chrX,+,YJL019W
YJL020C,"[(398937, 402410)]",chrX,-,YJL020C
YJL020W-A,"[(400981, 401238)]",chrX,+,YJL020W-A
YJL022W,"[(398109, 398417)]",chrX,+,YJL022W
YJL023C,"[(397355, 398398)]",chrX,-,YJL023C
YJL024C,"[(395931, 396493), (396571, 396592)]",chrX,-,YJL024C
YJL025W,"[(393967, 395511)]",chrX,+,YJL025W
YJL026C-A,"[(393066, 393287)]",chrX,-,YJL026C-A
YJL026W,"[(392404, 393603)]",chrX,+,YJL026W
YJL027C,"[(391833, 392249)]",chrX,-,YJL027C
YJL028W,"[(391311, 391646)]",chrX,+,YJL028W
YJL029C,"[(388385, 390853)]",chrX,-,YJL029C
YJL030W,"[(387657, 388247)]",chrX,+,YJL030W
YJL031C,"[(386368, 387348), (387436, 387438)]",chrX,-,YJL031C
YJL032W,"[(386348, 386662)]",chrX,+,YJL032W
YJL033W,"[(383837, 386149)]",chrX,+,YDL031W
YJL034W,"[(381327, 383375)]",chrX,+,YKL073W
YJL035C,"[(380249, 381001)]",chrX,-,YJL035C
YJL036W,"[(378825, 380096)]",chrX,+,YJL036W
YJL037W,"[(376662, 377336)]",chrX,+,YJL038C
YJL038C,"[(375115, 375774)]",chrX,-,YJL038C
YJL039C,"[(368748, 373799)]",chrX,-,YJL039C
YJL041W,"[(365784, 365784), (365903, 368373)]",chrX,+,YJL041W
YJL042W,"[(361249, 365445)]",chrX,+,YJL042W
YJL043W,"[(360130, 360903)]",chrX,+,YJL043W
YJL044C,"[(358300, 359676)]",chrX,-,YJL044C
YJL045W,"[(356024, 357928)]",chrX,+,YJL045W
YJL046W,"[(352386, 353615)]",chrX,+,YJL046W
YJL047C,"[(349580, 352108)]",chrX,-,YJL047C
YJL047C-A,"[(349044, 349178)]",chrX,-,YJL047C-A
YJL048C,"[(347447, 348637)]",chrX,-,YBR273C
YJL049W,"[(345973, 347325)]",chrX,+,YJL049W
YJL050W,"[(342522, 345743)]",chrX,+,YGR271W
YJL051W,"[(339787, 342255)]",chrX,+,YJL051W
YJL052C-A,"[(337884, 338003)]",chrX,-,YJL052C-A
YJL052W,"[(338271, 339269)]",chrX,+,YJL052W
YJL053W,"[(335898, 337037)]",chrX,+,YJL053W
YJL054W,"[(334265, 335701)]",chrX,+,YJL054W
YJL055W,"[(333357, 334094)]",chrX,+,YJL055W
YJL056C,"[(330431, 333073)]",chrX,-,YPR186C
YJL057C,"[(328118, 330121)]",chrX,-,YJL057C
YJL058C,"[(326242, 327873)]",chrX,-,YJL058C
YJL059W,"[(324964, 326190)]",chrX,+,YJL059W
YJL060W,"[(323386, 324720)]",chrX,+,YDR111C
YJL061W,"[(320016, 322157)]",chrX,+,YJL061W
YJL062W,"[(317284, 319776)]",chrX,+,YJL062W
YJL062W-A,"[(316723, 316980)]",chrX,+,YJL062W-A
YJL063C,"[(315759, 316475)]",chrX,-,YJL063C
YJL064W,"[(315175, 315570)]",chrX,+,YJL064W
YJL065C,"[(315054, 315557)]",chrX,-,YJL065C
YJL066C,"[(314114, 314872)]",chrX,-,YJL066C
YJL067W,"[(314084, 314434)]",chrX,+,YJL067W
YJL068C,"[(313016, 313915)]",chrX,-,YJL068C
YJL069C,"[(310922, 312706)]",chrX,-,YJL069C
YJL070C,"[(307971, 310637)]",chrX,-,YML035C
YJL071W,"[(306132, 307856)]",chrX,+,YJL071W
YJL072C,"[(305221, 305862)]",chrX,-,YJL072C
YJL073W,"[(303181, 305118)]",chrX,+,YJL073W
YJL074C,"[(299157, 302849)]",chrX,-,YJL074C
YJL075C,"[(298460, 298876)]",chrX,-,YJL075C
YJL076W,"[(295245, 298814)]",chrX,+,YJL076W
YJL077C,"[(294666, 295061)]",chrX,-,YJL077C
YJL077W-A,"[(294799, 294885)]",chrX,+,YJL077W-A
YJL077W-B,"[(294047, 294145)]",chrX,+,YJL077W-B
YJL078C,"[(291336, 293981)]",chrX,-,YJL079C
YJL079C,"[(289875, 290774)]",chrX,-,YJL079C
YJL080C,"[(285558, 289226)]",chrX,-,YJL080C
YJL081C,"[(283802, 285271)]",chrX,-,YLR085C
YJL082W,"[(281185, 283380)]",chrX,+,YJL082W
YJL083W,"[(278841, 280655)]",chrX,+,YJL083W
YJL084C,"[(274862, 278002)]",chrX,-,YPR030W
YJL085W,"[(272827, 274698)]",chrX,+,YJL085W
YJL086C,"[(272478, 272846)]",chrX,-,YJL086C
YJL087C,"[(270002, 272485)]",chrX,-,YJL087C
YJL088W,"[(268799, 269815)]",chrX,+,YJL088W
YJL089W,"[(265926, 268415)]",chrX,+,YJL089W
YJL090C,"[(262757, 265051)]",chrX,-,YJL090C
YJL091C,"[(261080, 262552)]",chrX,-,YJL091C
YJL092W,"[(257423, 260947)]",chrX,+,YJL092W
YJL093C,"[(254737, 256812)]",chrX,-,YJL093C
YJL094C,"[(251821, 254442)]",chrX,-,YJL094C
YJL095W,"[(247255, 251691)]",chrX,+,YJL095W
YJL096W,"[(246490, 246975)]",chrX,+,YJL096W
YJL097W,"[(245591, 246244)]",chrX,+,YJL097W
YJL098W,"[(242082, 245258)]",chrX,+,YJL098W
YJL099W,"[(239414, 241654)]",chrX,+,YOR299W
YJL100W,"[(237263, 239086)]",chrX,+,YJL100W
YJL101C,"[(234320, 236356)]",chrX,-,YJL101C
YJL102W,"[(231301, 233760)]",chrX,+,YAL035W
YJL103C,"[(229025, 230881)]",chrX,-,YBR239C
YJL104W,"[(227327, 227776)]",chrX,+,YJL104W
YJL105W,"[(225055, 226737)]",chrX,+,YJL105W
YJL106W,"[(221390, 223327)]",chrX,+,YJL106W
YJL107C,"[(218853, 220016)]",chrX,-,YJL107C
YJL108C,"[(217705, 218856)]",chrX,-,YJL107C
YJL109C,"[(212000, 217309)]",chrX,-,YJL109C
YJL110C,"[(209922, 211577)]",chrX,-,YKR034W
YJL111W,"[(207877, 209529)]",chrX,+,YDL143W
YJL112W,"[(205305, 207449)]",chrX,+,YIL046W
YJL113W,"[(198678, 198998), (199000, 203325)]",chrX,+,YJL113W
YJL114W,"[(197915, 198595)]",chrX,+,YJL114W
YJL115W,"[(196287, 197126)]",chrX,+,YJL115W
YJL116C,"[(193860, 194873)]",chrX,-,YJL116C
YJL117W,"[(192531, 193466)]",chrX,+,YJL117W
YJL118W,"[(191639, 192298)]",chrX,+,YJL118W
YJL119C,"[(191572, 191895)]",chrX,-,YJL119C
YJL120W,"[(191022, 191345)]",chrX,+,YJL120W
YJL121C,"[(190374, 191090)]",chrX,-,YJL121C
YJL122W,"[(189716, 190243)]",chrX,+,YJL122W
YJL123C,"[(188004, 189440)]",chrX,-,YJL123C
YJL124C,"[(187126, 187644)]",chrX,-,YJL124C
YJL125C,"[(185528, 186679)]",chrX,-,YJL125C
YJL126W,"[(184501, 185424)]",chrX,+,YLR351C
YJL127C,"[(182298, 184220)]",chrX,-,YJL127C
YJL127C-B,"[(181551, 181709)]",chrX,-,YJL127C-B
YJL127W-A,"[(180194, 180310)]",chrX,+,YJL127W-A
YJL128C,"[(178097, 180103)]",chrX,-,YPL140C
YJL129C,"[(173599, 177306)]",chrX,-,YJL129C
YJL130C,"[(165723, 172367)]",chrX,-,YJL088W
YJL131C,"[(164278, 165348)]",chrX,-,YJL131C
YJL132W,"[(161914, 164166)]",chrX,+,YJL132W
YJL133C-A,"[(159623, 159847)]",chrX,-,YJL133C-A
YJL133W,"[(160619, 161563)]",chrX,+,YGR257C
YJL134W,"[(158188, 159417)]",chrX,+,YKR053C
YJL135W,"[(157877, 158194)]",chrX,+,YJL135W
YJL136C,"[(156550, 156789), (157250, 157273)]",chrX,-,YKR057W
YJL136W-A,"[(156169, 156252)]",chrX,+,YJL136W-A
YJL137C,"[(154985, 156127)]",chrX,-,YJL137C
YJL138C,"[(153504, 154691)]",chrX,-,YDL031W
YJL139C,"[(151713, 152999)]",chrX,-,YOR099W
YJL140W,"[(150961, 151626)]",chrX,+,YJL140W
YJL141C,"[(147967, 150390)]",chrX,-,YJL141C
YJL142C,"[(147819, 148211)]",chrX,-,YJL142C
YJL143W,"[(147101, 147577)]",chrX,+,YJL143W
YJL144W,"[(146359, 146673)]",chrX,+,YJL144W
YJL145W,"[(145160, 146044)]",chrX,+,YJL145W
YJL146W,"[(143292, 144701)]",chrX,+,YJL146W
YJL147C,"[(141419, 142567)]",chrX,-,YJL147C
YJL148W,"[(140437, 141138)]",chrX,+,YJL148W
YJL149W,"[(137379, 139370)]",chrX,+,YJL149W
YJL150W,"[(137123, 137425)]",chrX,+,YJL150W
YJL151C,"[(136372, 136773)]",chrX,-,YJL151C
YJL152W,"[(136174, 136533)]",chrX,+,YJL152W
YJL153C,"[(134332, 135933)]",chrX,-,YJL153C
YJL154C,"[(131101, 133935)]",chrX,-,YJL154C
YJL155C,"[(129285, 130643)]",chrX,-,YJL155C
YJL156C,"[(126853, 128952)]",chrX,-,YJL156C
YJL156W-A,"[(126604, 126825)]",chrX,+,YJL156W-A
YJL157C,"[(123836, 126328)]",chrX,-,YJL157C
YJL158C,"[(122265, 122948)]",chrX,-,YJL158C
YJL159W,"[(120449, 121690)]",chrX,+,YKL164C
YJL160C,"[(117962, 118825)]",chrX,-,YJL158C
YJL161W,"[(117245, 117787)]",chrX,+,YJL161W
YJL162C,"[(113878, 115629)]",chrX,-,YJL162C
YJL163C,"[(111666, 113333)]",chrX,-,YJL163C
YJL164C,"[(109966, 111159)]",chrX,-,YPL203W
YJL165C,"[(106894, 109461)]",chrX,-,YDR507C
YJL166W,"[(106434, 106718)]",chrX,+,YJL166W
YJL167W,"[(105014, 106072)]",chrX,+,YJL167W
YJL168C,"[(102227, 104428)]",chrX,-,YJL168C
YJL169W,"[(102099, 102467)]",chrX,+,YJL169W
YJL170C,"[(101150, 101779)]",chrX,-,YJL170C
YJL171C,"[(99704, 100894)]",chrX,-,YBR162C
YJL172W,"[(97737, 99467)]",chrX,+,YJL172W
YJL173C,"[(96161, 96529)]",chrX,-,YJL173C
YJL174W,"[(95092, 95922)]",chrX,+,YJL174W
YJL175W,"[(94049, 94561)]",chrX,+,YJL175W
YJL176C,"[(92053, 94530)]",chrX,-,YJL176C
YJL177W,"[(90786, 91094), (91412, 91657)]",chrX,+,YJL177W
YJL178C,"[(89282, 90097)]",chrX,-,YJL178C
YJL179W,"[(88787, 89116)]",chrX,+,YJL179W
YJL180C,"[(87583, 88560)]",chrX,-,YJL180C
YJL181W,"[(85660, 87495)]",chrX,+,YJL181W
YJL182C,"[(85435, 85752)]",chrX,-,YJL182C
YJL183W,"[(84068, 85336)]",chrX,+,YJL183W
YJL184W,"[(83448, 83819)]",chrX,+,YJL184W
YJL185C,"[(82095, 82976)]",chrX,-,YJL185C
YJL186W,"[(80155, 81915)]",chrX,+,YBR015C
YJL187C,"[(76803, 79262)]",chrX,-,YDR283C
YJL188C,"[(76202, 76510)]",chrX,-,YJL188C
YJL189W,"[(75933, 75938), (76325, 76474)]",chrX,+,YJL189W
YJL190C,"[(74910, 75302)]",chrX,-,YJL190C
YJL191W,"[(73787, 73796), (74205, 74611)]",chrX,+,YJL191W
YJL192C,"[(72710, 73414)]",chrX,-,YJL192C
YJL193W,"[(71366, 72574)]",chrX,+,YER039C
YJL194W,"[(69338, 70879)]",chrX,+,YML065W
YJL195C,"[(69241, 69942)]",chrX,-,YJL195C
YJL196C,"[(67850, 68782)]",chrX,-,YCR034W
YJL197C-A,"[(65805, 66086)]",chrX,-,YJL197C-A
YJL197W,"[(63805, 67569)]",chrX,+,YJL197W
YJL198W,"[(60844, 63489)]",chrX,+,YCR037C
YJL199C,"[(59856, 60182)]",chrX,-,YJL199C
YJL200C,"[(56444, 58813)]",chrX,-,YJL200C
YJL201W,"[(54379, 56178)]",chrX,+,YJL201W
YJL202C,"[(53943, 54290)]",chrX,-,YJL202C
YJL203W,"[(53341, 54183)]",chrX,+,YJL203W
YJL204C,"[(50629, 53151)]",chrX,-,YLR166C
YJL205C,"[(50139, 50268), (50412, 50443)]",chrX,-,YJL205C
YJL206C,"[(47659, 49935)]",chrX,-,YIL130W
YJL207C,"[(41389, 47433)]",chrX,-,YJL207C
YJL208C,"[(40194, 41183)]",chrX,-,YJL208C
YJL209W,"[(38005, 39969)]",chrX,+,YJL209W
YJL210W,"[(36919, 37734)]",chrX,+,YJL210W
YJL211C,"[(36757, 37200)]",chrX,-,YJL211C
YJL212C,"[(33850, 36249)]",chrX,-,YJL212C
YJL213W,"[(32163, 33158)]",chrX,+,YDL238C
YJL214W,"[(26887, 28596)]",chrX,+,YDL247W
YJL215C,"[(26412, 26771)]",chrX,-,YJL215C
YJL216C,"[(24341, 26086)]",chrX,-,YBR299W
YJL217W,"[(23133, 23729)]",chrX,+,YJL217W
YJL218W,"[(21973, 22563)]",chrX,+,YJL218W
YJL219W,"[(19497, 21200)]",chrX,+,YDL247W
YJL220W,"[(18243, 18695)]",chrX,+,YIL171W-A
YJL221C,"[(16767, 18536)]",chrX,-,YBR299W
YJL222W,"[(11475, 16124)]",chrX,+,YBL017C
YJL222W-A,"[(9452, 9679)]",chrX,+,YMR324C
YJL222W-B,"[(9346, 9483)]",chrX,+,YMR324C
YJL223C,"[(8776, 9138)]",chrX,-,YIL011W
YJL225C,"[(466, 4581), (4970, 6130)]",chrX,-,YPR202W
YJL225W-A,"[(829, 1311)]",chrX,+,YJL225W-A
YJR001W,"[(436802, 438610)]",chrX,+,YER119C
YJR002W,"[(438865, 440646)]",chrX,+,YJR002W
YJR003C,"[(440994, 442553)]",chrX,-,YJR003C
YJR004C,"[(442909, 444861)]",chrX,-,YJR004C
YJR005C-A,"[(448477, 448758)]",chrX,-,YJR005C-A
YJR005W,"[(445923, 448025)]",chrX,+,YJR005W
YJR006W,"[(449202, 450665)]",chrX,+,YJR006W
YJR007W,"[(451020, 451934)]",chrX,+,YJR007W
YJR008W,"[(452430, 453446)]",chrX,+,YJR008W
YJR009C,"[(453683, 454681)]",chrX,-,YJL052W
YJR010C-A,"[(458077, 458361)]",chrX,-,YJR010C-A
YJR010W,"[(456239, 457774)]",chrX,+,YKL001C
YJR011C,"[(458641, 459426)]",chrX,-,YJR011C
YJR012C,"[(459795, 460193)]",chrX,-,YJR012C
YJR013W,"[(460382, 461593)]",chrX,+,YJR013W
YJR014W,"[(461829, 462425)]",chrX,+,YJR014W
YJR015W,"[(462721, 464253)]",chrX,+,YJR015W
YJR016C,"[(464451, 466208)]",chrX,-,YJR016C
YJR017C,"[(466521, 467033)]",chrX,-,YJR017C
YJR018W,"[(466786, 467148)]",chrX,+,YJR018W
YJR019C,"[(467232, 468281)]",chrX,-,YJR019C
YJR020W,"[(468001, 468333)]",chrX,+,YJR020W
YJR021C,"[(468555, 469183), (469264, 469579)]",chrX,-,YJR021C
YJR022W,"[(469784, 470113)]",chrX,+,YJR022W
YJR023C,"[(469804, 470205)]",chrX,-,YJR023C
YJR024C,"[(470230, 470964)]",chrX,-,YJR024C
YJR025C,"[(471138, 471671)]",chrX,-,YJR025C
YJR026W,"[(472760, 474082)]",chrX,+,YJR026W
YJR027W,"[(472760, 474061), (474063, 478028)]",chrX,+,YJR027W
YJR028W,"[(478344, 479666)]",chrX,+,YJR028W
YJR029W,"[(478344, 479644), (479646, 483612)]",chrX,+,YJR029W
YJR030C,"[(483959, 486196)]",chrX,-,YJL181W
YJR031C,"[(486586, 490812)]",chrX,-,YEL022W
YJR032W,"[(491081, 492262)]",chrX,+,YJR032W
YJR033C,"[(492378, 496451)]",chrX,-,YJR033C
YJR034W,"[(496683, 497009)]",chrX,+,YJR034W
YJR035W,"[(497355, 500612)]",chrX,+,YPL082C
YJR036C,"[(500713, 503391)]",chrX,-,YJR036C
